id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6370140,Modern 3-Story Townhome w/cityviews,33194566,Wesley,Highland,39.76869234,-105.0053517,Entire home/apt,250,2,5,12/1/2015,0.44,1,183
6845267,Lohi 3 Story Eco Friendly Townhouse,35868852,Pete,Highland,39.76091271,-105.0084066,Entire home/apt,250,3,47,5/16/2016,4.22,1,123
4725188,Modern House Rooftop Hot Tub/views,24404463,Seiler,Highland,39.76356482,-105.0118542,Entire home/apt,199,1,15,5/4/2016,0.95,1,145
568201,Private room & bath in LoHi,2157095,Valerie,Highland,39.7648505,-105.0085582,Private room,59,2,2,11/23/2015,0.14,2,344
10010577,Modern Townhome in LoHi,51416877,Rokha,Highland,39.76240819,-105.0116245,Private room,80,3,1,5/2/2016,1,1,336
9011715,Bedroom available in the Highlands,47056330,Maria,Highland,39.76737089,-105.0052255,Private room,45,5,0,,,1,0
632709,1890 townhome in popular LoHi!,2157095,Valerie,Highland,39.7665883,-105.0095663,Entire home/apt,199,1,28,3/8/2016,0.81,2,299
12252707,Young and Hip in the Highlands!!,42777778,Teresa,Highland,39.76129934,-105.0087978,Entire home/apt,110,1,2,5/16/2016,2,3,149
8664469,LoHi - City Close - Walk Everywhere,172851,Christina,Highland,39.76100007,-105.00943,Entire home/apt,250,2,11,5/15/2016,1.64,1,329
9315578,Gorgeous historic home - Highlands!,21236435,Melette,Highland,39.76717807,-105.020631,Entire home/apt,88,2,5,5/9/2016,0.8,1,14
8372001,"Lovely, Huge Room & Bath in LoHi!",3707804,Emma,Highland,39.76925004,-105.0164499,Private room,75,1,26,5/17/2016,3.18,1,339
9165891,Large-Luxury & Amazing city views,47705995,Angela,Highland,39.75820394,-105.0159077,Entire home/apt,228,2,13,4/4/2016,2.03,1,29
7350733,Charming home in fantastic location,38516005,LizBeth,Highland,39.75916191,-105.0225569,Entire home/apt,135,2,47,4/25/2016,5.16,1,316
11850633,Sunny Denver home with rooftop,63158013,Marian,Highland,39.76279632,-105.0125399,Entire home/apt,250,1,1,4/22/2016,1,1,13
11603999,Luxe Modern Home LOHI Sleeps 6!,61406380,Ben,Highland,39.75985329,-105.0152501,Entire home/apt,179,1,6,5/9/2016,2.57,1,145
7562368,Sunny City Retreat,12348731,Ryan,Highland,39.76113601,-105.0081723,Entire home/apt,179,2,8,5/14/2016,1.59,2,239
9971416,Sunny LoHi Suite with Jacuzzi Tub,12348731,Ryan,Highland,39.76193557,-105.009288,Private room,125,1,3,3/27/2016,0.63,2,50
10598112,Darling 3BR Victorian Denver House,48618586,Evolve Vacation Rental,Highland,39.76807353,-105.0219976,Entire home/apt,206,2,0,,,4,152
10075777,Sunlit oasis in the heart of Denver,50714433,Hai,Highland,39.76023157,-105.0091473,Entire home/apt,300,2,11,5/12/2016,5.16,5,139
